Sentiment,Avg_PnL,Total_PnL,Win_Rate,Num_Trades,Avg_Fee,Avg_Trade_Size
Extreme Fear,33.13793926661264,449814.387605,0.3525121555915721,13574,1.2727073214333946,6196.106960365404
Extreme Greed,69.28422631653592,2623308.661023,0.4772733275229116,37863,0.6755780481322134,3091.605506431081
Fear,60.44111863729975,2788088.36162,0.4333716317284138,46129,1.700207760900208,9149.462833792191
Greed,35.492667760759694,1594082.187139,0.3836083093981698,44913,1.2498298393605036,5749.878379533765
Neutral,42.70997123328578,1287235.823,0.41089618102790404,30139,1.1150325858767973,5217.919244168685
